fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.24302495,0.117262475,0.48276302,0.5963781,0.4535075,0.4176321,0.45825174,0.5224161,0.44839257
0,2,0.11277967,0.10720544,0.46376625,0.48956323,0.4582423,0.4309492,0.48979247,0.46863753,0.44541296
0,3,0.09344035,0.1006117,0.4488695,0.48014325,0.4452242,0.4090648,0.450764,0.46095765,0.44706324
0,4,0.08040018,0.099880636,0.4472854,0.48081258,0.44281232,0.40776324,0.4508103,0.46054214,0.44097164
1,1,0.23823465,0.119200796,0.48933926,0.524801,0.46151313,0.45609507,0.4658367,0.5452601,0.48252982
1,2,0.117060885,0.107716136,0.46521106,0.49778792,0.44925892,0.43416736,0.45732054,0.47819272,0.47453916
1,3,0.09660524,0.10434583,0.45731393,0.50232893,0.4427613,0.41800562,0.45439813,0.47433627,0.45205322
1,4,0.081935994,0.10227065,0.45291674,0.4827759,0.44155166,0.41800007,0.45352367,0.47169682,0.44995236
2,1,0.23844428,0.11440476,0.4798764,0.5005001,0.4632116,0.44280478,0.49645534,0.49108964,0.48519683
2,2,0.11354097,0.11316299,0.47711036,0.49351454,0.49487874,0.42931178,0.47897652,0.50490797,0.46107253
2,3,0.0969356,0.108352475,0.46666396,0.4902687,0.4588399,0.43069917,0.47080475,0.48422432,0.46514693
2,4,0.086143196,0.10630672,0.46208552,0.48528185,0.4547602,0.42028272,0.47050327,0.48208585,0.45959926
3,1,0.24213022,0.11945328,0.49023095,0.5454116,0.50161016,0.42652178,0.4600014,0.49694002,0.5109009
3,2,0.1146612,0.10814853,0.46620527,0.49316967,0.49004194,0.41886938,0.44766513,0.4879596,0.45952597
3,3,0.09393829,0.102546945,0.45378232,0.4859999,0.45224288,0.41577554,0.4473016,0.48204473,0.43932927
3,4,0.08039528,0.10163171,0.45175424,0.48544666,0.45257208,0.4123356,0.44484478,0.4746726,0.44065392
