fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.13069,0.10744,0.46374,0.505,0.447,0.431,0.461,0.504,0.434
0,2,0.10495,0.10143,0.45064,0.485,0.440,0.413,0.449,0.477,0.440
0,3,0.08341,0.09872,0.44457,0.475,0.439,0.408,0.449,0.463,0.433
1,1,0.12904,0.11894,0.48902,0.511,0.509,0.482,0.459,0.514,0.460
1,2,0.10345,0.10519,0.45979,0.482,0.459,0.427,0.466,0.472,0.452
1,3,0.08252,0.10199,0.45244,0.480,0.441,0.423,0.456,0.469,0.447
2,1,0.12876,0.12792,0.50748,0.543,0.504,0.560,0.499,0.479,0.460
2,2,0.10415,0.11154,0.47257,0.477,0.450,0.425,0.474,0.552,0.457
2,3,0.08172,0.1032,0.45539,0.476,0.447,0.415,0.466,0.474,0.454
3,1,0.1293265,0.11167351,0.47378483,0.48705852,0.47979572,0.4380402,0.44919777,0.5130644,0.47555253
3,2,0.103484355,0.10657686,0.46245918,0.48827222,0.45508865,0.41635025,0.4752469,0.48279354,0.45700338
3,3,0.081432045,0.1005786,0.44896555,0.48661488,0.45010194,0.41115937,0.4403575,0.47093415,0.4346254
